question,answer
Mida Sulle meeldib teha oma vabal ajal?,"Lõõgastun ega tee suurt midagi, Püüan midagi aktiivset ette võtta, Mõnikord olen aktiivne, mõnikord ei tee midagi, Mul ei ole (peaaegu) üldse vaba aega"
Olen tundnud end rõõmsana,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud huvi uute asjade vastu,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end armastatuna,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen suutnud ise enda asjade üle otsustada,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end enesekindlalt,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end teise inimestega lähedasena,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end hästi,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
"Mis oli viimane film või teatrietendus, mida ma nägin?",
Olen mõelnud selgelt,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen lahendanud probleeme tõhusalt,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen olnud energiline,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud huvi teiste inimeste vastu,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end lõõgastunult,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen tundnud end kasulikuna,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
Olen olnud tuleviku suhtes optimistlik,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
"Veedan vaba aega looduses (nt jalutamas, piknikul, telkimas)","Vähem kui kord kuus, Kord kuus, 2-3 korda kuus, Kord nädalas, 2-3 korda nädalas, 4-6 korda nädalas , Igapäevaselt"
"Veedan vaba aega aktiivselt (nt kõnnin, teen aiatöid, tantsin, jooksen, ujun)","Vähem kui kord kuus, Kord kuus, 2-3 korda kuus, Kord nädalas, 2-3 korda nädalas, 4-6 korda nädalas , Igapäevaselt"
Teen nädalas vähemalt korra venitus- või tasakaaluharjutusi,"Jah, Ei"
Mul on üsna passiivne ja väheliikuv eluviis,"Jah, Ei"
"Olen kas vabal ajal või tööl rohkem kui kaks tundi nädalas füüsiliselt aktiivne (trenn, kiire kõnd, muu võhmale ajav liikumine)","Jah, Ei"
"Sport või liikumine, mida mulle meeldib harrastada ... (kirjuta üks või mitu)",
Minu une kvaliteet on viimasel kuul olnud,"Väga hea, Üsna hea, Üsna halb, Väga halb"
Viimasel kuul olen öö jooksul keskmiselt maganud,"5 või vähem, üle 7"
Viimasel kuul olen tundnud end ärgates väljapuhanuna,"Pidevalt, Pidevalt, Sageli, Sageli, Mõnikord, Mõnikord, Harva, Harva, Üldse mitte, Üldse mitte"
Viimasel kuul on mul olnud õhtuti uinumisega raskusi,"Pidevalt, Pidevalt, Sageli, Sageli, Mõnikord, Mõnikord, Harva, Harva, Üldse mitte, Üldse mitte"
Viimasel kuul olen tundnud end päeval unisena,"Pidevalt, Sageli, Mõnikord, Harva, Üldse mitte"
"Käin kohaliku kogukonna üritustel (nt festivalil, teatris, turul, spordiüritusel, koolilaadal, elanike koosolekul, omavalitsuse üritustel, ärigrupis)","Kord aastas või vähem, Paar korda aastas, Iga paari kuu tagant, Kord kuus, Iga nädal või rohkem"
"Saan pereliikmetega kokku einestamiseks, väljasõiduks või muudeks tegevusteks","Kord aastas või vähem, Paar korda aastas, Iga paari kuu tagant, Kord kuus, Iga nädal või rohkem"
"Saan sõprade, töökaaslaste või naabritega kokku einestamiseks, väljasõiduks või muudeks tegevusteks","Kord aastas või vähem, Paar korda aastas, Iga paari kuu tagant, Kord kuus, Iga nädal või rohkem"
"Suhtlen tänaval, telefonis või veebis inimestega, kes pole mu lähedased, sõbrad ega töökaaslased","Vähem kui kord kuus, Kord kuus, 2-3 korda kuus, Kord nädalas, 2-3 korda nädalas, 4-6 korda nädalas , Igapäevaselt"
Viimasel paaril kuul olen teistega suhelnud,"Tavapäraselt, Pigem harvemini kui tavaliselt, Pigem rohkem kui tavaliselt"
"Osalen vabatahtlikuna heategevusorganisatsioonis, kogukonnarühmas, rahvaüritustel, sotsiaalvaldkonna tegevustes või mujal (nt spordimeeskonna või kolleegi juhendajana,  Punase Risti vabatahtlikuna, supiköögis)","Jah, Ei"
