Patsiendi küsimus,Terapeudi vastus
"Olen tundnud stressi, kas saate mind aidata?","Räägime sellest, mis on teie stressi põhjustanud, ja leiame viise, kuidas sellega toime tulla."
"Mul on olnud raskeid päevi, mida ma peaksin tegema?","Oluline on tunnistada neid raskeid päevi ja uurida, mis võib neile kaasa aidata."
"Mu tuju langeb pärastlõunal, miks see nii on?",Pärastlõunasel madalseisul võib olla mitu põhjust; Alustuseks uurime teie rutiine ja toitumist.
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (4)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (4)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (4)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (4)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (4)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (4)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (4)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (4)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (4)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (4)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (4)"
Milliseid eesmärke peaksin teraapiale seadma?,"Eesmärkide seadmine on isiklik, kuid me saame alustada sellest, mis on teie jaoks kõige pakilisem. (4)"
"Ma mõtlen pidevalt minevikusündmuste üle, kuidas ma saan lõpetada?","Mäletsemine võib olla keeruline, kuid me saame töötada teadveloleku ja minevikusündmustest lahti laskmise nimel. (4)"
Kuidas peaksin konfliktiga toime tulema?,Konfliktidega tegelemine seisneb enesekehtestamises ja tervislikus suhtlemises. Saame seda harjutada. (4)
"Mul õnnestus hiljuti midagi, kuid tunnen end süüdi, miks?","Mõnikord toob edu ootamatuid emotsioone. Uurime, mida edu teie jaoks tähendab. (4)"
"Minu peresuhted on keerulised, kuidas seda lahendada?",Perekonna dünaamika võib olla keeruline. Saame töötada kommunikatsioonistrateegiate ja piiride kallal. (5)
"Enda jaoks aja leidmine on raske, mis on teie nõuanne?",Vaatame koos teie ajakava ja leiame võimalused enesehoolduseks. (5)
Kuidas ma peaksin stressiga paremini toime tulema?,"Võime proovida stressi vähendamise tehnikaid, nagu tähelepanelikkus või treening. (5)"
Millised on head lõõgastusviisid?,"Lõõgastumine on isiklik, kuid saame uurida hobisid, meditatsiooni või lõõgastusharjutusi. (5)"
"Mul on probleeme unega, kas saate aidata?",Arutagem kindlasti teie öist rutiini ja koostame une parandamise plaani. (5)
Miks mu isu nii palju erineb?,"Söögiisu võivad mõjutada stress, emotsioonid ja muud tegurid. Uurime seda lähemalt. (5)"
Millised tegevused võivad aidata mul end paremini tunda?,"Tegutsemine tegevustega, mis teile rahuldust pakuvad ja meeldivad, võib olla väga teraapiline. (5)"
Kui oluline on tugisüsteemi olemasolu?,"Tugisüsteem on ülioluline. See pakub usalduse ja hoolitsuse võrgustikku, kui seda vajate. (5)"
"Mõnikord kahtlen endas, mida ma peaksin tegema?","Eneses kahtlemine on loomulik, kuid me saame töötada teie enesehinnangu ja enesekindluse suurendamise nimel. (5)"
Kuidas juhtida häirivaid mõtteid?,Nende mõtete käsitlemiseks ja juhtimiseks saame kasutada kognitiiv-käitumuslikke tehnikaid. (5)
"Rahvarohked kohad teevad mind ärevaks, kas see on tavaline?","Jah, see on tavaline reaktsioon. Saame välja töötada strateegiad selle ärevuse vähendamiseks. (5)"
